date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:32	36097/36097	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:31%20GMT	https://sariab.ir/	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/index.html	(from )
14:47:32	342/342	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Jan%202022%2011:17:31%20GMT	https://sariab.ir/robots.txt		(from )
14:47:32	413/413	---M--	200	added ('OK')	application/json	date:Thu,%2016%20Jul%202020%2016:11:08%20GMT	https://sariab.ir/manifest.json	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/manifest.json	(from https://sariab.ir/)
14:47:32	4546/4546	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2005:13:14%20GMT	https://sariab.ir/static/css/sariab.css	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/static/css/sariab.css	(from https://sariab.ir/)
14:47:33	5531/5531	---M-Z	200	added ('OK')	text/css	date:Sun,%2021%20Feb%202021%2011:53:52%20GMT	https://sariab.ir/static/css/layout.css	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/static/css/layout.css	(from https://sariab.ir/)
14:47:33	2190/2190	---M-Z	200	added ('OK')	text/css	date:Wed,%2012%20May%202021%2005:14:37%20GMT	https://sariab.ir/static/css/index.css	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/static/css/index.css	(from https://sariab.ir/)
14:47:34	72670/72670	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-11bde%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.0/css/all.css	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.13.0/css/all.css	(from https://sariab.ir/)
14:47:34	20944/20944	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Mar%202020%2019:27:03%20GMT	https://sariab.ir/logo/Icon.svg	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/logo/Icon.svg	(from https://sariab.ir/)
14:47:34	9704/9704	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:34%20GMT	https://sariab.ir/Home/Positions	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Positions.html	(from https://sariab.ir/)
14:47:34	12545/12545	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:34%20GMT	https://sariab.ir/Home/ThankYou	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/ThankYou.html	(from https://sariab.ir/)
14:47:35	7053/7053	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:34%20GMT	https://sariab.ir/Home/Blog	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Blog.html	(from https://sariab.ir/)
14:47:35	19041/19041	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:34%20GMT	https://sariab.ir/Home/Roadmap/14	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Roadmap/14.html	(from https://sariab.ir/)
14:47:36	13272/13272	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:35%20GMT	https://sariab.ir/Home/Roadmap/7	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Roadmap/7.html	(from https://sariab.ir/)
14:47:39	45541/45541	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202021%2006:15:29%20GMT	http://sariab.ir/download/roads/web-developer-1400.png	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/download/roads/web-developer-1400.png	(from https://sariab.ir/)
14:47:42	12731/12731	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:36%20GMT	https://sariab.ir/Home/Roadmap/8	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Roadmap/8.html	(from https://sariab.ir/)
14:47:48	12748/12748	---MCZ	302	error ('Found')	text/html	date:Sat,%2029%20Jan%202022%2011:17:42%20GMT	https://sariab.ir/Home/Index/*/0	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Index/_/0	(from https://sariab.ir/)
14:47:51	51851/51851	---M--	200	added ('OK')	image/jpeg	etag:%220d1f3995814d81:0%22	https://www.w3schools.com/howto/img_nature_wide.jpg	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/www.w3schools.com/howto/img_nature_wide.jpg	(from https://sariab.ir/)
14:47:59	36101/36101	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:47%20GMT	https://sariab.ir/Home	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home.html	(from https://sariab.ir/)
14:48:02	7982/7982	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:59%20GMT	https://sariab.ir/Home/Submit	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Submit.html	(from https://sariab.ir/)
14:48:02	37723/37723	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:51%20GMT	https://sariab.ir/Home/Index/*/2	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Index/_/2.html	(from https://sariab.ir/)
14:48:14	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jan%202022%2011:18:02%20GMT	https://sariab.ir/Home/Redirect/20189	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Redirect/20189	(from https://sariab.ir/)
14:48:17	3195/3195	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:18:14%20GMT	https://sariab.ir/Home/View/20189	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/View/20189.html	(from https://sariab.ir/)
14:48:22	14406/14406	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:18:16%20GMT	https://sariab.ir/Home/Index/	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Index/index.html	(from https://sariab.ir/)
14:48:28	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jan%202022%2011:18:16%20GMT	https://sariab.ir/Home/Redirect/20188	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Redirect/20188.18.delayed	(from https://sariab.ir/)
14:48:40	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jan%202022%2011:18:29%20GMT	https://sariab.ir/Home/Redirect/20187	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Redirect/20187.1b.delayed	(from https://sariab.ir/)
14:48:43	4504/4504	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:18:40%20GMT	https://sariab.ir/Home/View/20187	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/View/20187.html	(from https://sariab.ir/)
14:48:54	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jan%202022%2011:18:41%20GMT	https://sariab.ir/Home/Redirect/20185	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Redirect/20185.1e.delayed	(from https://sariab.ir/)
14:49:07	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jan%202022%2011:18:55%20GMT	https://sariab.ir/Home/Redirect/20186	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Redirect/20186.21.delayed	(from https://sariab.ir/)
14:49:09	3674/3674	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:19:07%20GMT	https://sariab.ir/Home/View/20186	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/View/20186.html	(from https://sariab.ir/)
14:49:16	3459856/3459856	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Jan%202022%2011:17:37%20GMT	https://sariab.ir/Home/Roadmap/12	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Roadmap/12.html	(from https://sariab.ir/)
14:49:20	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jan%202022%2011:19:08%20GMT	https://sariab.ir/Home/Redirect/20184	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Redirect/20184.24.delayed	(from https://sariab.ir/)
14:49:31	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2029%20Jan%202022%2011:19:20%20GMT	https://sariab.ir/Home/Redirect/20183	C:/Users/tayyebi/Desktop/Offline%20Websites/sariab/sariab.ir/Home/Redirect/20183.27.delayed	(from https://sariab.ir/)
